1a2/4/4/4/4/1PN1,6,4,,b2
1a2/4/4/4/4/1PN1,b1b2
4/4/4/1aN1/1P2/4,c3b1
4/4/4/1a2/1P2/1N2,b1d2
4/4/1a2/2N1/1P2/4,c3b1
4/4/4/a1N1/1P2/4,b2a3
1N2/4/4/2a1/1P2/4,b2c3
4/4/N3/2a1/1P2/4,a4c3
4/4/N3/3a/4/1P2,a4b2
4/4/4/3a/1N2/1P2,b2d3
4/4/4/2a1/1N2/1P2,b2d1
4/4/4/2a1/4/1P1N,d1c3
4/4/4/3a/4/1P1N,b1b2
4/4/4/3a/1P2/3N,d1c3
4/4/4/2Na/1P2/4,c3b1
4/4/3a/2N1/1P2/4,c3b1
4/4/4/2N1/1P1a/4,c3b1
4/4/4/4/1Pa1/1N2,b1d2
4/4/4/4/1PaN/4,d2b1
4/4/4/4/1P1a/4,b2b3
4/4/4/1P2/3a/4,b3b4
4/4/4/1P2/2a1/4,b3b4
4/4/3a/4/1P2/3N,d1c3
4/4/2a1/2N1/1P2/4,c3b1
4/4/4/2a1/1P2/3N,d1c3
4/4/4/4/1P1a/3N,d1c3
4/4/4/2N1/1Pa1/4,c3b1
4/4/4/1a2/4/1P1N,d1b2
4/4/4/a3/1N2/1P2,b2d1
4/4/4/a3/4/1P1N,d1c3
4/4/4/a1N1/4/1P2,c3d5
4/3N/4/a3/4/1P2,d5b4
4/4/1N2/a3/4/1P2,b4a2
4/4/4/a3/N3/1P2,a2c1
4/4/4/a3/4/1PN1,c1a2
4/4/4/1a2/N3/1P2,a2c1
4/4/4/1a2/4/1PN1,c1b3
4/4/4/4/a3/1P2,b1a2
4/4/a3/4/4/1PN1,c1a2
4/4/4/4/a3/1PN1,c1a2
4/4/1a2/4/4/1P2,b1b2
4/1a2/4/4/1P2/4,b2b3
1a2/4/4/1P2/4/4,b3b4
4/4/aN2/4/4/1P2,b4c2
4/4/1N2/1a2/4/1P2,b4a2
4/4/1N2/4/a3/1P2,b4a2
4/3N/a3/4/4/1P2,b1b2
4/3N/a3/4/1P2/4,d5c3
4/a2N/4/4/1P2/4,d5c3
4/3N/1a2/4/1P2/4,d5b4
4/3N/4/a3/1P2/4,b2a3
4/3N/4/1a2/4/1P2,d5c3
4/4/4/1aN1/4/1P2,c3d1
4/4/1a2/2N1/4/1P2,c3d1
4/4/a3/4/4/1P1N,b1b2
4/4/a3/4/1P2/3N,d1c3
4/a3/4/4/1P2/3N,d1c3
4/4/1a2/4/1P2/3N,d1c3
4/4/4/a3/1P2/3N,b2a3
4/4/4/2a1/4/1P2,b1b2
4/4/4/3a/1P2/4,b2b3
4/4/4/4/1Pa1/4,b2b3
4/3N/4/4/a3/1P2,b1a2
4/4/4/2N1/a3/1P2,c3a2
4/4/4/4/a3/1P1N,b1a2
4/4/4/4/2a1/1P1N,b1c2
4/4/4/4/1N1a/1P2,b2d1
4/4/4/4/3a/1P1N,d1b2
4/4/4/4/1Na1/1P2,b1c2
4/4/Na2/4/4/1P2,a4c5
4/2N1/1a2/4/4/1P2,b1b2
4/2a1/4/4/4/1P2,b1b2
2a1/4/4/4/1P2/4,b2b3
3a/4/4/1P2/4/4,b3b4
4/3a/4/4/1P2/4,b2b3
4/1aN1/4/4/4/1P2,c5d3
4/4/1a2/3N/4/1P2,d3b4
4/2N1/2a1/4/4/1P2,c5a6
N3/4/2a1/4/4/1P2,b1b2
N3/2a1/4/4/4/1P2,a6c5
N3/4/3a/4/4/1P2,a6b4
4/4/1Na1/4/4/1P2,b4a2
N3/4/1a2/4/4/1P2,a6b4
N3/4/4/2a1/4/1P2,a6c5
4/2N1/4/2a1/4/1P2,c5b3
4/4/4/1Na1/4/1P2,b3a1
4/4/2a1/1N2/4/1P2,b3a1
4/4/4/1N1a/4/1P2,b1b2
4/4/4/1N2/2a1/1P2,b1c2
4/2N1/4/3a/4/1P2,c5d3
4/2N1/4/4/2a1/1P2,b1c2
4/4/a3/4/4/1P2,b1b2
4/a3/4/4/1P2/4,b2b3
a3/4/4/1P2/4/4,b3b4
4/4/N3/2a1/4/1P2,a4c3
4/4/N3/a3/4/1P2,a4c5
3N/4/4/a3/4/1P2,d6c4
4/4/2N1/4/a3/1P2,b1a2
4/1N2/4/1a2/4/1P2,b5a3
4/4/4/Na2/4/1P2,a3c2
4/4/1a2/N3/4/1P2,a3c2
4/4/4/a3/4/1P2,b1b2
4/1N2/4/4/a3/1P2,b1a2
2N1/a3/4/4/4/1P2,c6a5
2N1/4/1a2/4/4/1P2,c6b4
2N1/4/4/a3/4/1P2,c6d4
4/4/3N/1a2/4/1P2,d4b3
4/4/3N/4/a3/1P2,b1a2
a3/4/4/N3/4/1P2,a3c4
a3/4/2N1/4/4/1P2,b1b2
1a2/4/2N1/4/4/1P2,c4b6
4/4/a3/N3/4/1P2,a3c2
4/3a/4/4/3N/1P2,d2b3
